distrito,candidato,lista,partido,programa
1,CARLOS ALBERTO YEVENES TORRES,APRUEBO DIGNIDAD,PARTIDO COMUNISTA DE CHILE,Descargar archivo aquí
1,CAROLINA ELIANA VIDELA OSORIO,APRUEBO DIGNIDAD,PARTIDO COMUNISTA DE CHILE,Descargar archivo aquí
1,HERMANN ROBERTO MONDACA RAITERI,APRUEBO DIGNIDAD,INDEPENDIENTES,Descargar archivo aquí
1,OSCAR BORIS PALLERES FLORES,APRUEBO DIGNIDAD,INDEPENDIENTES,Descargar archivo aquí
1,SHEILA MARIANELLA SANCHEZ COPAJA,APRUEBO DIGNIDAD,INDEPENDIENTES,Descargar archivo aquí
1,CARMEN LIA VERGARA BERTON,ARICA SIEMPRE ARICA (D1),INDEPENDIENTES,Descargar archivo aquí
1,CRISTIAN GUSTAVO PINTO CORTEZ,ARICA SIEMPRE ARICA (D1),INDEPENDIENTES,Descargar archivo aquí
1,GIGLIOLA MARIA CARLEVARINO WEITZEL,ARICA SIEMPRE ARICA (D1),INDEPENDIENTES,Descargar archivo aquí
1,WILLI HANS ZUCHEL BALCARCE,ARICA SIEMPRE ARICA (D1),INDEPENDIENTES,Descargar archivo aquí
1,RODRIGO LEONARDO MUÑOZ PONCE,CANDIDATURA INDEPENDIENTE,INDEPENDIENTES,Descargar archivo aquí
1,ROMINA ALEJANDRA LE BLANC AMPUERO,CANDIDATURA INDEPENDIENTE,INDEPENDIENTES,Descargar archivo aquí
1,CATALINA DANIELA CABRERA MALDONADO,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,EDWIN RENE BRICEÑO COBB,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,JUDITH ESTHER LUNA DUARTE,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,RAFAEL ANDRES VARGAS MALDONADO,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,RODRIGO ALEJANDRO VENEGAS VERGARA,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,SARA FERNANDA VILLARROEL SAN MARTIN,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),INDEPENDIENTES,Descargar archivo aquí
1,ENZO VARENS ALVAREZ,LISTA DEL APRUEBO,PARTIDO SOCIALISTA DE CHILE,Descargar archivo aquí
1,ERNESTINA DEL CARMEN SILVA VILLEGAS,LISTA DEL APRUEBO,PARTIDO RADICAL DE CHILE,Descargar archivo aquí
1,HORTENCIA HIDALGO CACERES,LISTA DEL APRUEBO,PARTIDO SOCIALISTA DE CHILE,Descargar archivo aquí
1,IRIS ANDREA RUBIO MEDINA,LISTA DEL APRUEBO,INDEPENDIENTES,Descargar archivo aquí
1,JORGE BRUNO ABARCA RIVEROS,LISTA DEL APRUEBO,INDEPENDIENTES,Descargar archivo aquí
1,RAUL CASTRO LETELIER,LISTA DEL APRUEBO,PARTIDO DEMOCRATA CRISTIANO,Descargar archivo aquí
1,CAMILO MARTIN JOFRE CAÑIPA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO TRABAJADORES REVOLUCIONARIOS,Descargar archivo aquí
1,FERNANDA ANDREA MORALES ARACENA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO TRABAJADORES REVOLUCIONARIOS,Descargar archivo aquí
1,MANUEL AQUILES ROJAS VIDELA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO TRABAJADORES REVOLUCIONARIOS,Descargar archivo aquí
1,VALENTINA PAZ ALBARRACIN GONZALEZ,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO TRABAJADORES REVOLUCIONARIOS,Descargar archivo aquí
1,JOSE ISAAC BARRAZA LLERENA,SUMATE AHORA (D1),INDEPENDIENTES,Descargar archivo aquí
1,MILENE ROSSINA MOLINA ARANCIBIA,SUMATE AHORA (D1),INDEPENDIENTES,Descargar archivo aquí
1,REBECA BUTRON CATALAN,SUMATE AHORA (D1),INDEPENDIENTES,Descargar archivo aquí
1,SERGIO JESUS GALLARDO ALFARO,SUMATE AHORA (D1),INDEPENDIENTES,Descargar archivo aquí
1,YARLLETTE ISABEL MARAMBIO FLOR,SUMATE AHORA (D1),INDEPENDIENTES,Descargar archivo aquí
1,BRUNELLA VINET MATTASOGLIO,VAMOS POR CHILE,INDEPENDIENTES,Descargar archivo aquí
1,FRANCISCO JAVIER GONZALEZ SILVA,VAMOS POR CHILE,INDEPENDIENTES,Descargar archivo aquí
1,HECTOR MILLA BRAVO,VAMOS POR CHILE,RENOVACION NACIONAL,Descargar archivo aquí
1,MARIA CALATAYUD SAAVEDRA,VAMOS POR CHILE,RENOVACION NACIONAL,Descargar archivo aquí
1,POLLYANA RIVERA BIGAS,VAMOS POR CHILE,INDEPENDIENTES,Descargar archivo aquí
1,VALERIO PATRICIO CAÑIPA TARQUE,VAMOS POR CHILE,UNION DEMOCRATA INDEPENDIENTE,Descargar archivo aquí
2,ALEJANDRA MARJORIE CEBALLOS ROJAS,APRUEBO DIGNIDAD,COMUNES,Descargar archivo aquí
2,CAMILA PAZ CASTILLO GUERRERO,APRUEBO DIGNIDAD,REVOLUCION DEMOCRATICA,Descargar archivo aquí
2,EDUARDO ROBERTO JUSTO CRUCES,APRUEBO DIGNIDAD,FEDERACION REGIONALISTA VERDE SOCIAL,Descargar archivo aquí
2,HUGO HUMBERTO GUTIERREZ GALVEZ,APRUEBO DIGNIDAD,PARTIDO COMUNISTA DE CHILE,Descargar archivo aquí
2,ODETTE LOPEZ ORMAZABAL,APRUEBO DIGNIDAD,INDEPENDIENTES,Descargar archivo aquí
2,WALDO AGUILAR FIGUEROA,APRUEBO DIGNIDAD,IGUALDAD,Descargar archivo aquí
2,CARLA VERONICA BRUNA ARANEDA,AUTONOMIA SOCIAL Y SINDICAL TARAPACA (D2),INDEPENDIENTES,Descargar archivo aquí
2,GUACOLDA ABDULIA BASCUÑAN ARAVENA,AUTONOMIA SOCIAL Y SINDICAL TARAPACA (D2),INDEPENDIENTES,Descargar archivo aquí
2,LEONARDO FELIPE ESCARATE AYALA,AUTONOMIA SOCIAL Y SINDICAL TARAPACA (D2),INDEPENDIENTES,Descargar archivo aquí
2,MAURO ANTONIO GRIMALDOS VALENZUELA,AUTONOMIA SOCIAL Y SINDICAL TARAPACA (D2),INDEPENDIENTES,Descargar archivo aquí
2,CAROLINA ELIZABETH MONJE SAN MARTIN,CABILDO AUTOCONVOCADO (D2),INDEPENDIENTES,Descargar archivo aquí
