NUM,DISTRITO,NOMBRE,ELECTO/A,VALOR,Compromiso (acepta/omite/rechaza),Genero,REGION,LISTA CANDIDATO,LISTA CANDIDATO (AGRUPADAS),FILIACION POLITICA,"Minibio (texto para escribir, incl. HTML)",Comentarios Internos Equipo,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
D01-007,1,Carolina Videla,SI,0,acepta,Mujer,Arica,Apruebo Dignidad,Apruebo Dignidad,Partido Comunista de Chile,"Trabajadora Social, Gestora Socio Cultural",,,,,,,,,,,,,,
D01-013,1,Jorge Abarca,SI,0,acepta,Hombre,Arica,Lista del Apruebo,Lista del Apruebo,Independiente,Defensor del Humedal del Rio Lluta. Ambientalista y presidente del Comite Ambiental de Arica.,,,,,,,,,,,,,,
D01-022,1,Pollyana Rivera,SI,0,Omite,Mujer,Arica,Vamos por Chile,Vamos por Chile,Union Democrata Independiente,Periodista,Es seguidora de Kast,,,,,,,,,,,,,
D02-004,2,Hugo Gutierrez,SI,0,Omite,Hombre,Tarapaca,Apruebo Dignidad,Apruebo Dignidad,Partido Comunista de Chile,Abogado. Diputado tres periodos.,,,,,,,,,,,,,,
D02-011,2,Alejandra Flores,SI,0,Omite,Mujer,Tarapaca,Independientes de Tarapaca (D2),Independientes de Tarapaca (D2),Independiente,"Profesora, aymara, ecofeminista, dirigenta social.",,,,,,,,,,,,,,
D02-021,2,Alvaro Jofre Caceres,SI,0,Omite,Hombre,Tarapaca,Vamos por Chile,Vamos por Chile,Renovacion Nacional,"ingeniero en Administracion de Empresas, Ex Concejal de Iquique 2012-2016 y Consejero Regional electo periodo 2018-2022.",,,,,,,,,,,,,,
D03-002,3,Hernan Velasquez,SI,0,acepta,Hombre,Antofagasta,Apruebo Dignidad,Apruebo Dignidad,Federacion Regionalista Verde Social,"Sociologo, Calama",,,,,,,,,,,,,,
D03-006,3,Dayyana Gonzalez,SI,0,acepta,Mujer,Antofagasta,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,"pobladora, activista ambiental y derechos sociales, dirigente, feminista, Profesora de Historia y Geografia.",info@lagranlistaindependiente.cl +56 9 3319 4014,,,,,,,,,,,,,
D03-017,3,Cristina Dorador,SI,0,acepta,Mujer,Antofagasta,Movimiento Independiente del Norte,Movimiento Independiente del Norte,Independiente,Microbiologa y academica universitaria.,,,,,,,,,,,,,,
D03-039,3,Pablo Antonio Toloza Fernandez,SI,0,Omite,Hombre,Antofagasta,Vamos por Chile,Vamos por Chile,Union Democrata Independiente,Abogado,,,,,,,,,,,,,,
D04-001,4,Ericka Portilla,SI,0,Omite,Mujer,Atacama,Apruebo Dignidad,Apruebo Dignidad,Partido Comunista de Chile,Abogada,hace 4 años asumio como Gobernadora Provincia de Copiapo,,,,,,,,,,,,,
D04-004,4,Constanza San Juan,SI,0,Omite,Mujer,Atacama,Asamblea Constituyente Atacama,Lista del Pueblo (UNIFICADA),Independiente,Licenciada en Historia,Activista sociambiental,,,,,,,,,,,,,
D04-011,4,Guillermo Namor,SI,0,acepta,Hombre,Atacama,Independientes por la Nueva Constitucion,Independientes No Neutrales (UNIFICADA),Independiente,Abogado,,,,,,,,,,,,,,
D04-018,4,Maximiliano Hurtado,SI,0,Omite,Hombre,Atacama,Lista del Apruebo,Lista del Apruebo,Partido Socialista de Chile,Asesor legislativo,,,,,,,,,,,,,,
D05-001,5,Jeniffer Mella,SI,0,acepta,Mujer,Coquimbo,Apruebo Dignidad,Apruebo Dignidad,Independiente,"Abogada, feminista, defensora de los DD.HH",,,,,,,,,,,,,,
D05-015,5,Carlos Calvo,SI,0,acepta,Hombre,Coquimbo,Lista del Apruebo,Lista del Apruebo,Independiente,Jubilado,,,,,,,,,,,,,,
D05-019,5,Ivanna Olivares,SI,0,acepta,Mujer,Coquimbo,Lista del Pueblo - Movimiento Territorial Constituyente,Lista del Pueblo (UNIFICADA),Independiente,Ambientalista. Profesora de Historia,Diaguita,,,,,,,,,,,,,
D05-020,5,Daniel Bravo,SI,0,acepta,Hombre,Coquimbo,Lista del Pueblo - Movimiento Territorial Constituyente,Lista del Pueblo (UNIFICADA),Independiente,Abogado. Profesor universitario.,,,,,,,,,,,,,,
D05-033,5,Roberto Vega,SI,0,Omite,Hombre,Coquimbo,Vamos por Chile,Vamos por Chile,Renovacion Nacional,Abogado,,,,,,,,,,,,,,
D05-038,5,Maria Trinidad Castillo Boilet,SI,0,Omite,Mujer,Coquimbo,Independientes por la Region de Coquimbo,Independientes por la Region de Coquimbo,Independiente,Docente,,,,,,,,,,,,,,
